lat,lon,current_speed,free_flow_speed,congestion_factor
44.35500000000001,26.034999999999986,37.0,37.0,0.0
44.35500000000001,26.039999999999985,71.0,71.0,0.0
44.35500000000001,26.044999999999984,71.0,71.0,0.0
44.35500000000001,26.049999999999983,72.0,72.0,0.0
44.35500000000001,26.054999999999982,72.0,72.0,0.0
44.35500000000001,26.05999999999998,72.0,72.0,0.0
44.35500000000001,26.06499999999998,72.0,72.0,0.0
44.35500000000001,26.06999999999998,72.0,72.0,0.0
44.35500000000001,26.074999999999978,58.0,58.0,0.0
44.35500000000001,26.079999999999977,58.0,58.0,0.0
44.35500000000001,26.084999999999976,58.0,58.0,0.0
44.35500000000001,26.089999999999975,59.0,59.0,0.0
44.35500000000001,26.094999999999974,59.0,59.0,0.0
44.35500000000001,26.099999999999973,59.0,59.0,0.0
44.35500000000001,26.104999999999972,59.0,59.0,0.0
44.35500000000001,26.10999999999997,52.0,52.0,0.0
44.35500000000001,26.11499999999997,73.0,73.0,0.0
44.35500000000001,26.11999999999997,73.0,73.0,0.0
44.35500000000001,26.124999999999968,58.0,58.0,0.0
44.35500000000001,26.129999999999967,60.0,60.0,0.0
44.35500000000001,26.134999999999966,50.0,50.0,0.0
44.35500000000001,26.139999999999965,60.0,60.0,0.0
44.35500000000001,26.144999999999964,60.0,60.0,0.0
44.35500000000001,26.149999999999963,60.0,60.0,0.0
44.35500000000001,26.154999999999962,58.0,58.0,0.0
44.35500000000001,26.15999999999996,58.0,58.0,0.0
44.35500000000001,26.16499999999996,58.0,58.0,0.0
44.35500000000001,26.16999999999996,101.0,101.0,0.0
44.35500000000001,26.174999999999958,101.0,101.0,0.0
44.35500000000001,26.179999999999957,101.0,101.0,0.0
44.35500000000001,26.184999999999956,101.0,101.0,0.0
44.35500000000001,26.189999999999955,101.0,101.0,0.0
44.35500000000001,26.194999999999954,73.0,95.0,0.2315789473684211
44.35500000000001,26.199999999999953,58.0,58.0,0.0
44.35500000000001,26.204999999999952,77.0,77.0,0.0
44.35500000000001,26.20999999999995,75.0,75.0,0.0
44.35500000000001,26.21499999999995,75.0,75.0,0.0
44.35500000000001,26.21999999999995,75.0,75.0,0.0
44.35500000000001,26.224999999999948,78.0,78.0,0.0
44.360000000000014,25.96,128.0,128.0,0.0
44.360000000000014,25.965,62.0,62.0,0.0
44.360000000000014,25.97,61.0,61.0,0.0
44.360000000000014,25.974999999999998,52.0,52.0,0.0
44.360000000000014,25.979999999999997,51.0,51.0,0.0
44.360000000000014,25.984999999999996,51.0,51.0,0.0
44.360000000000014,25.989999999999995,51.0,51.0,0.0
44.360000000000014,25.994999999999994,51.0,51.0,0.0
44.360000000000014,25.999999999999993,51.0,51.0,0.0
44.360000000000014,26.004999999999992,51.0,51.0,0.0
44.360000000000014,26.00999999999999,51.0,51.0,0.0
44.360000000000014,26.01499999999999,69.0,69.0,0.0
44.360000000000014,26.01999999999999,69.0,69.0,0.0
44.360000000000014,26.024999999999988,69.0,69.0,0.0
44.360000000000014,26.029999999999987,69.0,69.0,0.0
44.360000000000014,26.034999999999986,67.0,67.0,0.0
